0000 | 00 00 00
0E6A | 00 00 00
0E6D | 00 00 00
0E70 | 00 00 00
0E73 | 00 00 00
0E76 | 00 00 00
0E79 | 00 00 00
0E7C | 00 00 00
0E7F | 00 00 00
0E82 | 00 00 00
0E85 | 00 00 00
0E88 | 00 00 00
0E8B | 00 00 00
0E8E | 00 00 00
0E91 | 00 00 00
0E94 | 00 00 00
0E97 | 00 00 00
0E9A | 00 00 00
0E9D | 00 00 00
0EA0 | 00 00 00
0EA3 | 00 00 00
0EA6 | 00 00 00
0EA9 | 00 00 00
0EAC | 00 00 00
0EAF | 00 00 00
0EB2 | 00 00 00
0EB5 | 00 00 00
0EB8 | 00 00 00
0EBB | 00 00 00
0EBE | 00 00 00
0EC1 | 00 00 00
0EC4 | 00 00 00
0EC7 | 00 00 00
0ECA | 00 00 00
0ECD | 00 00 00
0ED0 | 00 00 00
0ED3 | 00 00 00
0ED6 | 00 00 00
0ED9 | 00 00 00
0EDC | 00 00 00
0EDF | 00 00 00
0EE2 | 00 00 00
0EE5 | 00 00 00
0EE8 | 00 00 00
0EEB | 00 00 00
0EEE | 00 00 00
0EF1 | 00 00 00
0EF4 | 00 00 00
0EF7 | 00 00 00
0EFA | 00 00 00
0EFD | 00 00 00
0F00 | 00 00 00
0F03 | 00 00 00
0F06 | 00 00 00
0F09 | 00 00 00
0F0C | 00 00 00
0F0F | 00 00 00
0F12 | 00 00 00
0F15 | 00 00 00
0F18 | 00 00 00
0F1B | 00 00 00
0F1E | 00 00 00
0F21 | 00 00 00
0F24 | 00 00 00
0F27 | 00 00 00
0F2A | 00 00 00
0F2D | 00 00 00
0F30 | 00 00 00
0F33 | 00 00 00
0F36 | 00 00 00
0F39 | 00 00 00
0F3C | 00 00 00
0F3F | 00 00 00
0F42 | 00 00 00
0F45 | 00 00 00
0F48 | 00 00 00
0F4B | 00 00 00
0F4E | 00 00 00
0F51 | 00 00 00
0F54 | 00 00 00
0F57 | 00 00 00
0F5A | 00 00 00
0F5D | 00 00 00
0F60 | 00 00 00
0F63 | 00 00 00
0F66 | 00 00 00
0F69 | 00 00 00
0F6C | 00 00 00
0F6F | 00 00 00
0F72 | 00 00 00
0F75 | 00 00 00
0F78 | 00 00 00
0F7B | 00 00 00
0F7E | 00 00 00
0F81 | 00 00 00
0F84 | 00 00 00
0F87 | 00 00 00
0F8A | 00 00 00
0F8D | 00 00 00
0F90 | 00 00 00
0F93 | 00 00 00
0F96 | 00 00 00
0F99 | 00 00 00
0F9C | 00 00 00
0F9F | 00 00 00
0FA2 | 00 00 00
0FA5 | 00 00 00
0FA8 | 00 00 00
0FAB | 00 00 00
0FAE | 00 00 00
0FB1 | 00 00 00
0FB4 | 00 00 00
0FB7 | 00 00 00
0FBA | 00 00 00
0FBD | 00 00 00
0FC0 | 00 00 00
0FC3 | 00 00 00
0FC6 | 00 00 00
0FC9 | 00 00 00
0FCC | 00 00 00
0FCF | 00 00 00
0FD2 | 00 00 00
0FD5 | 00 00 00
0FD8 | 00 00 00
0FDB | 00 00 00
0FDE | 00 00 00
0FE1 | 00 00 00
0FE4 | 00 00 00
0FE7 | 00 00 00
0FEA | 00 00 00
0FED | 00 00 00
0FF0 | 00 00 00
0FF3 | 00 00 00
0FF6 | 00 00 00
0FF9 | 00 00 00
0FFC | 00 00 00
0FFF | 00 00 00
1002 | 00 00 00
1005 | 00 00 00
1008 | 00 00 00
100B | 00 00 00
100E | 00 00 00
1011 | 00 00 00
1014 | 00 00 00
1017 | 00 00 00
101A | 00 00 00
101D | 00 00 00
1020 | 00 00 00
1023 | 00 00 00
1026 | 00 00 00
1029 | 00 00 00
102C | 00 00 00
102F | 00 00 00
1032 | 00 00 00
1035 | 00 00 00
1038 | 00 00 00
103B | 00 00 00
103E | 00 00 00
1041 | 00 00 00
1044 | 00 00 00
1047 | 00 00 00
104A | 00 00 00
104D | 00 00 00
1050 | 00 00 00
1053 | 00 00 00
1056 | 00 00 00
1059 | 00 00 00
105C | 00 00 00
105F | 00 00 00
1062 | 00 00 00
1065 | 00 00 00
1068 | 00 00 00
106B | 00 00 00
106E | 00 00 00
1071 | 00 00 00
1074 | 00 00 00
1077 | 00 00 00
107A | 00 00 00
107D | 00 00 00
1080 | 00 00 00
1083 | 00 00 00
1086 | 00 00 00
1089 | 00 00 00
108C | 00 00 00
108F | 00 00 00
1092 | 00 00 00
1095 | 00 00 00
1098 | 00 00 00
109B | 00 00 00
109E | 00 00 00
10A1 | 00 00 00
10A4 | 00 00 00
10A7 | 00 00 00
10AA | 00 00 00
10AD | 00 00 00
10B0 | 00 00 00
10B3 | 00 00 00
10B6 | 00 00 00
10B9 | 00 00 00
10BC | 00 00 00
10BF | 00 00 00
10C2 | 00 00 00
10C5 | 00 00 00
10C8 | 00 00 00
10CB | 00 00 00
10CE | 00 00 00
10D1 | 00 00 00
10D4 | 00 00 00
10D7 | 00 00 00
10DA | 00 00 00
10DD | 00 00 00
10E0 | 00 00 00
10E3 | 00 00 00
10E6 | 00 00 00
10E9 | 00 00 00
10EC | 00 00 00
10EF | 00 00 00
10F2 | 00 00 00
10F5 | 00 00 00
10F8 | 00 00 00
10FB | 00 00 00
10FE | 00 00 00
1101 | 00 00 00
1104 | 00 00 00
1107 | 00 00 00
110A | 00 00 00
110D | 00 00 00
1110 | 00 00 00
1113 | 00 00 00
1116 | 00 00 00
1119 | 00 00 00
111C | 00 00 00
111F | 00 00 00
1122 | 00 00 00
1125 | 00 00 00
1128 | 00 00 00
112B | 00 00 00
112E | 00 00 00
1131 | 00 00 00
1134 | 00 00 00
1137 | 00 00 00
113A | 00 00 00
113D | 00 00 00
1140 | 00 00 00
1143 | 00 00 00
1146 | 00 00 00
1149 | 00 00 00
114C | 00 00 00
114F | 00 00 00
1152 | 00 00 00
1155 | 00 00 00
1158 | 00 00 00
115B | 00 00 00
115E | 00 00 00
1161 | 00 00 00
1164 | 00 00 00
1167 | 00 00 00
116A | 00 00 00
116D | 00 00 00
1170 | 00 00 00
1173 | 00 00 00
1176 | 00 00 00
1179 | 00 00 00
117C | 00 00 00
117F | 00 00 00
1182 | 00 00 00
1185 | 00 00 00
1188 | 00 00 00
118B | 00 00 00
118E | 00 00 00
1191 | 00 00 00
1194 | 00 00 00
1197 | 00 00 00
119A | 00 00 00
119D | 00 00 00
11A0 | 00 00 00
11A3 | 00 00 00
11A6 | 00 00 00
11A9 | 00 00 00
11AC | 00 00 00
11AF | 00 00 00
11B2 | 00 00 00
11B5 | 00 00 00
11B8 | 00 00 00
11BB | 00 00 00
11BE | 00 00 00
11C1 | 00 00 00
11C4 | 00 00 00
11C7 | 00 00 00
11CA | 00 00 00
11CD | 00 00 00
11D0 | 00 00 00
11D3 | 00 00 00
11D6 | 00 00 00
11D9 | 00 00 00
11DC | 00 00 00
11DF | 00 00 00
11E2 | 00 00 00
11E5 | 00 00 00
11E8 | 00 00 00
11EB | 00 00 00
11EE | 00 00 00
11F1 | 00 00 00
11F4 | 00 00 00
11F7 | 00 00 00
11FA | 00 00 00
11FD | 00 00 00
1200 | 00 00 00
1203 | 00 00 00
1206 | 00 00 00
1209 | 00 00 00
120C | 00 00 00
120F | 00 00 00
1212 | 00 00 00
1215 | 00 00 00
1218 | 00 00 00
121B | 00 00 00
121E | 00 00 00
1221 | 00 00 00
1224 | 00 00 00
1227 | 00 00 00
122A | 00 00 00
122D | 00 00 00
1230 | 00 00 00
1233 | 00 00 00
1236 | 00 00 00
1239 | 00 00 00
123C | 00 00 00
123F | 00 00 00
1242 | 00 00 00
1245 | 00 00 00
1248 | 00 00 00
124B | 00 00 00
124E | 00 00 00
1251 | 00 00 00
1254 | 00 00 00
1257 | 00 00 00
125A | 00 00 00
125D | 00 00 00
1260 | 00 00 00
1263 | 00 00 00
1266 | 00 00 00
1269 | 00 00 00
126C | 00 00 00
126F | 00 00 00
1272 | 00 00 00
1275 | 00 00 00
1278 | 00 00 00
127B | 00 00 00
127E | 00 00 00
1281 | 00 00 00
1284 | 00 00 00
1287 | 00 00 00
128A | 00 00 00
128D | 00 00 00
1290 | 00 00 00
1293 | 00 00 00
1296 | 00 00 00
1299 | 00 00 00
129C | 00 00 00
129F | 00 00 00
12A2 | 00 00 00
12A5 | 00 00 00
12A8 | 00 00 00
12AB | 00 00 00
12AE | 00 00 00
12B1 | 00 00 00
12B4 | 00 00 00
12B7 | 00 00 00
12BA | 00 00 00
12BD | 00 00 00
12C0 | 00 00 00
12C3 | 00 00 00
12C6 | 00 00 00
12C9 | 00 00 00
12CC | 00 00 00
12CF | 00 00 00
12D2 | 00 00 00
12D5 | 00 00 00
12D8 | 00 00 00
12DB | 00 00 00
12DE | 00 00 00
12E1 | 00 00 00
12E4 | 00 00 00
12E7 | 00 00 00
12EA | 00 00 00
12ED | 00 00 00
12F0 | 00 00 00
12F3 | 00 00 00
12F6 | 00 00 00
12F9 | 00 00 00
12FC | 00 00 00
12FF | 00 00 00
1302 | 00 00 00
1305 | 00 00 00
1308 | 00 00 00
130B | 00 00 00
130E | 00 00 00
1311 | 00 00 00
1314 | 00 00 00
1317 | 00 00 00
131A | 00 00 00
131D | 00 00 00
1320 | 00 00 00
1323 | 00 00 00
1326 | 00 00 00
1329 | 00 00 00
132C | 00 00 00
132F | 00 00 00
1332 | 00 00 00
1335 | 00 00 00
1338 | 00 00 00
133B | 00 00 00
133E | 00 00 00
1341 | 00 00 00
1344 | 00 00 00
1347 | 00 00 00
134A | 00 00 00
134D | 00 00 00
1350 | 00 00 00
1353 | 00 00 00
1356 | 00 00 00
1359 | 00 00 00
135C | 00 00 00
135F | 00 00 00
1362 | 00 00 00
1365 | 00 00 00
1368 | 00 00 00
136B | 00 00 00
136E | 00 00 00
1371 | 00 00 00
1374 | 00 00 00
1377 | 00 00 00
137A | 00 00 00
137D | 00 00 00
1380 | 00 00 00
1383 | 00 00 00
1386 | 00 00 00
1389 | 00 00 00
138C | 00 00 00
138F | 00 00 00
1392 | 00 00 00
1395 | 00 00 00
1398 | 00 00 00
139B | 00 00 00
139E | 00 00 00
13A1 | 00 00 00
13A4 | 00 00 00
13A7 | 00 00 00
13AA | 00 00 00
13AD | 00 00 00
13B0 | 00 00 00
13B3 | 00 00 00
13B6 | 00 00 00
13B9 | 00 00 00
13BC | 00 00 00
13BF | 00 00 00
13C2 | 00 00 00
13C5 | 00 00 00
13C8 | 00 00 00
13CB | 00 00 00
13CE | 00 00 00
13D1 | 00 00 00
13D4 | 00 00 00
13D7 | 00 00 00
13DA | 00 00 00
13DD | 00 00 00
13E0 | 00 00 00
13E3 | 00 00 00
13E6 | 00 00 00
13E9 | 00 00 00
13EC | 00 00 00
13EF | 00 00 00
13F2 | 00 00 00
13F5 | 00 00 00
13F8 | 00 00 00
13FB | 00 00 00
13FE | 00 00 00
1401 | 00 00 00
1404 | 00 00 00
1407 | 00 00 00
140A | 00 00 00
140D | 00 00 00
1410 | 00 00 00
1413 | 00 00 00
1416 | 00 00 00
1419 | 00 00 00
141C | 00 00 00
141F | 00 00 00
1422 | 00 00 00
1425 | 00 00 00
1428 | 00 00 00
142B | 00 00 00
142E | 00 00 00
1431 | 00 00 00
1434 | 00 00 00
1437 | 00 00 00
143A | 00 00 00
143D | 00 00 00
1440 | 00 00 00
1443 | 00 00 00
1446 | 00 00 00
1449 | 00 00 00
144C | 00 00 00
144F | 00 00 00
1452 | 00 00 00
1455 | 00 00 00
1458 | 00 00 00
145B | 00 00 00
145E | 00 00 00
1461 | 00 00 00
1464 | 00 00 00
1467 | 00 00 00
146A | 00 00 00
146D | 00 00 00
1470 | 00 00 00
1473 | 00 00 00
1476 | 00 00 00
1479 | 00 00 00
147C | 00 00 00
147F | 00 00 00
1482 | 00 00 00
1485 | 00 00 00
1488 | 00 00 00
148B | 00 00 00
148E | 00 00 00
1491 | 00 00 00
1494 | 00 00 00
1497 | 00 00 00
149A | 00 00 00
149D | 00 00 00
14A0 | 00 00 00
14A3 | 00 00 00
14A6 | 00 00 00
14A9 | 00 00 00
14AC | 00 00 00
14AF | 00 00 00
14B2 | 00 00 00
14B5 | 00 00 00
14B8 | 00 00 00
14BB | 00 00 00
14BE | 00 00 00
14C1 | 00 00 00
14C4 | 00 00 00
14C7 | 00 00 00
14CA | 00 00 00
14CD | 00 00 00
14D0 | 00 00 00
14D3 | 00 00 00
14D6 | 00 00 00
14D9 | 00 00 00
14DC | 00 00 00
14DF | 00 00 00
14E2 | 00 00 00
14E5 | 00 00 00
14E8 | 00 00 00
14EB | 00 00 00
14EE | 00 00 00
14F1 | 00 00 00
14F4 | 00 00 00
14F7 | 00 00 00
14FA | 00 00 00
14FD | 00 00 00
1500 | 00 00 00
1503 | 00 00 00
1506 | 00 00 00
1509 | 00 00 00
150C | 00 00 00
150F | 00 00 00
1512 | 00 00 00
1515 | 00 00 00
1518 | 00 00 00
151B | 00 00 00
151E | 00 00 00
1521 | 00 00 00
1524 | 00 00 00
1527 | 00 00 00
152A | 00 00 00
152D | 00 00 00
1530 | 00 00 00
1533 | 00 00 00
1536 | 00 00 00
1539 | 00 00 00
153C | 00 00 00
153F | 00 00 00
1542 | 00 00 00
1545 | 00 00 00
1548 | 00 00 00
154B | 00 00 00
154E | 00 00 00
1551 | 00 00 00
1554 | 00 00 00
1557 | 00 00 00
155A | 00 00 00
155D | 00 00 00
1560 | 00 00 00
1563 | 00 00 00
1566 | 00 00 00
1569 | 00 00 00
156C | 00 00 00
156F | 00 00 00
1572 | 00 00 00
1575 | 00 00 00
1578 | 00 00 00
157B | 00 00 00
157E | 00 00 00
1581 | 00 00 00
1584 | 00 00 00
1587 | 00 00 00
158A | 00 00 00
158D | 00 00 00
1590 | 00 00 00
1593 | 00 00 00
1596 | 00 00 00
1599 | 00 00 00
159C | 00 00 00
159F | 00 00 00
15A2 | 00 00 00
15A5 | 00 00 00
15A8 | 00 00 00
15AB | 00 00 00
15AE | 00 00 00
15B1 | 00 00 00
15B4 | 00 00 00
15B7 | 00 00 00
15BA | 00 00 00
15BD | 00 00 00
15C0 | 00 00 00
15C3 | 00 00 00
15C6 | 00 00 00
15C9 | 00 00 00
15CC | 00 00 00
15CF | 00 00 00
15D2 | 00 00 00
15D5 | 00 00 00
15D8 | 00 00 00
15DB | 00 00 00
15DE | 00 00 00
15E1 | 00 00 00
15E4 | 00 00 00
15E7 | 00 00 00
15EA | 00 00 00
15ED | 00 00 00
15F0 | 00 00 00
15F3 | 00 00 00
15F6 | 00 00 00
15F9 | 00 00 00
15FC | 00 00 00
15FF | 00 00 00
1602 | 00 00 00
1605 | 00 00 00
1608 | 00 00 00
160B | 00 00 00
160E | 00 00 00
1611 | 00 00 00
1614 | 00 00 00
1617 | 00 00 00
161A | 00 00 00
161D | 00 00 00
1620 | 00 00 00
1623 | 00 00 00
1626 | 00 00 00
1629 | 00 00 00
162C | 00 00 00
162F | 00 00 00
1632 | 00 00 00
1635 | 00 00 00
1638 | 00 00 00
163B | 00 00 00
163E | 00 00 00
1641 | 00 00 00
1644 | 00 00 00
1647 | 00 00 00
164A | 00 00 00
164D | 00 00 00
1650 | 00 00 00
1653 | 00 00 00
1656 | 00 00 00
1659 | 00 00 00
165C | 00 00 00
165F | 00 00 00
1662 | 00 00 00
1665 | 00 00 00
1668 | 00 00 00
166B | 00 00 00
166E | 00 00 00
1671 | 00 00 00
1674 | 00 00 00
1677 | 00 00 00
167A | 00 00 00
167D | 00 00 00
1680 | 00 00 00
1683 | 00 00 00
1686 | 00 00 00
1689 | 00 00 00
168C | 00 00 00
168F | 00 00 00
1692 | 00 00 00
1695 | 00 00 00
1698 | 00 00 00
169B | 00 00 00
169E | 00 00 00
16A1 | 00 00 00
16A4 | 00 00 00
16A7 | 00 00 00
16AA | 00 00 00
16AD | 00 00 00
16B0 | 00 00 00
16B3 | 00 00 00
16B6 | 00 00 00
16B9 | 00 00 00
16BC | 00 00 00
16BF | 00 00 00
16C2 | 00 00 00
16C5 | 00 00 00
16C8 | 00 00 00
16CB | 00 00 00
16CE | 00 00 00
16D1 | 00 00 00
16D4 | 00 00 00
16D7 | 00 00 00
16DA | 00 00 00
16DD | 00 00 00
16E0 | 00 00 00
16E3 | 00 00 00
16E6 | 00 00 00
16E9 | 00 00 00
16EC | 00 00 00
16EF | 00 00 00
16F2 | 00 00 00
16F5 | 00 00 00
16F8 | 00 00 00
16FB | 00 00 00
16FE | 00 00 00
1701 | 00 00 00
1704 | 00 00 00
1707 | 00 00 00
170A | 00 00 00
170D | 00 00 00
1710 | 00 00 00
1713 | 00 00 00
1716 | 00 00 00
1719 | 00 00 00
171C | 00 00 00
171F | 00 00 00
1722 | 00 00 00
1725 | 00 00 00
1728 | 00 00 00
172B | 00 00 00
172E | 00 00 00
1731 | 00 00 00
1734 | 00 00 00
1737 | 00 00 00
173A | 00 00 00
173D | 00 00 00
1740 | 00 00 00
1743 | 00 00 00
1746 | 00 00 00
1749 | 00 00 00
174C | 00 00 00
174F | 00 00 00
1752 | 00 00 00
1755 | 00 00 00
1758 | 00 00 00
175B | 00 00 00
175E | 00 00 00
1761 | 00 00 00
1764 | 00 00 00
1767 | 00 00 00
176A | 00 00 00
176D | 00 00 00
1770 | 00 00 00
1773 | 00 00 00
1776 | 00 00 00
1779 | 00 00 00
177C | 00 00 00
177F | 00 00 00
1782 | 00 00 00
1785 | 00 00 00
1788 | 00 00 00
178B | 00 00 00
178E | 00 00 00
1791 | 00 00 00
1794 | 00 00 00
1797 | 00 00 00
179A | 00 00 00
179D | 00 00 00
17A0 | 00 00 00
17A3 | 00 00 00
17A6 | 00 00 00
17A9 | 00 00 00
17AC | 00 00 00
17AF | 00 00 00
17B2 | 00 00 00
17B5 | 00 00 00
17B8 | 00 00 00
17BB | 00 00 00
17BE | 00 00 00
17C1 | 00 00 00
17C4 | 00 00 00
17C7 | 00 00 00
17CA | 00 00 00
17CD | 00 00 00
17D0 | 00 00 00
17D3 | 00 00 00
17D6 | 00 00 00
17D9 | 00 00 00
17DC | 00 00 00
17DF | 00 00 00
17E2 | 00 00 00
17E5 | 00 00 00
17E8 | 00 00 00
17EB | 00 00 00
17EE | 00 00 00
17F1 | 00 00 00
17F4 | 00 00 00
17F7 | 00 00 00
17FA | 00 00 00
17FD | 00 00 00
1800 | 00 00 00
1803 | 00 00 00
1806 | 00 00 00
1809 | 00 00 00
180C | 00 00 00
180F | 00 00 00
1812 | 00 00 00
1815 | 00 00 00
1818 | 00 00 00
181B | 00 00 00
181E | 00 00 00
1821 | 00 00 00
1824 | 00 00 00
1827 | 00 00 00
182A | 00 00 00
182D | 00 00 00
1830 | 00 00 00
1833 | 00 00 00
1836 | 00 00 00
1839 | 00 00 00
183C | 00 00 00
183F | 00 00 00
1842 | 00 00 00
1845 | 00 00 00
1848 | 00 00 00
184B | 00 00 00
184E | 00 00 00
1851 | 00 00 00
1854 | 00 00 00
1857 | 00 00 00
185A | 00 00 00
185D | 00 00 00
1860 | 00 00 00
1863 | 00 00 00
1866 | 00 00 00
1869 | 00 00 00
186C | 00 00 00
186F | 00 00 00
1872 | 00 00 00
1875 | 00 00 00
1878 | 00 00 00
187B | 00 00 00
187E | 00 00 00
1881 | 00 00 00
1884 | 00 00 00
1887 | 00 00 00
188A | 00 00 00
188D | 00 00 00
1890 | 00 00 00
1893 | 00 00 00
1896 | 00 00 00
1899 | 00 00 00
189C | 00 00 00
189F | 00 00 00
18A2 | 00 00 00
18A5 | 00 00 00
18A8 | 00 00 00
18AB | 00 00 00
18AE | 00 00 00
18B1 | 00 00 00
18B4 | 00 00 00
18B7 | 00 00 00
18BA | 00 00 00
18BD | 00 00 00
18C0 | 00 00 00
18C3 | 00 00 00
18C6 | 00 00 00
18C9 | 00 00 00
18CC | 00 00 00
18CF | 00 00 00
18D2 | 00 00 00
18D5 | 00 00 00
18D8 | 00 00 00
18DB | 00 00 00
18DE | 00 00 00
18E1 | 00 00 00
18E4 | 00 00 00
18E7 | 00 00 00
18EA | 00 00 00
18ED | 00 00 00
18F0 | 00 00 00
18F3 | 00 00 00
18F6 | 00 00 00
18F9 | 00 00 00
18FC | 00 00 00
18FF | 00 00 00
1902 | 00 00 00
1905 | 00 00 00
1908 | 00 00 00
190B | 00 00 00
190E | 00 00 00
1911 | 00 00 00
1914 | 00 00 00
1917 | 00 00 00
191A | 00 00 00
191D | 00 00 00
1920 | 00 00 00
1923 | 00 00 00
1926 | 00 00 00
1929 | 00 00 00
192C | 00 00 00
192F | 00 00 00
1932 | 00 00 00
1935 | 00 00 00
1938 | 00 00 00
193B | 00 00 00
193E | 00 00 00
1941 | 00 00 00
1944 | 00 00 00
1947 | 00 00 00
194A | 00 00 00
194D | 00 00 00
1950 | 00 00 00
1953 | 00 00 00
1956 | 00 00 00
1959 | 00 00 00
195C | 00 00 00
195F | 00 00 00
1962 | 00 00 00
1965 | 00 00 00
1968 | 00 00 00
196B | 00 00 00
196E | 00 00 00
1971 | 00 00 00
1974 | 00 00 00
1977 | 00 00 00
197A | 00 00 00
197D | 00 00 00
1980 | 00 00 00
1983 | 00 00 00
1986 | 00 00 00
1989 | 00 00 00
198C | 00 00 00
198F | 00 00 00
1992 | 00 00 00
1995 | 00 00 00
1998 | 00 00 00
199B | 00 00 00
199E | 00 00 00
19A1 | 00 00 00
19A4 | 00 00 00
19A7 | 00 00 00
19AA | 00 00 00
19AD | 00 00 00
19B0 | 00 00 00
19B3 | 00 00 00
19B6 | 00 00 00
19B9 | 00 00 00
19BC | 00 00 00
19BF | 00 00 00
19C2 | 00 00 00
19C5 | 00 00 00
19C8 | 00 00 00
19CB | 00 00 00
19CE | 00 00 00
19D1 | 00 00 00
19D4 | 00 00 00
19D7 | 00 00 00
19DA | 00 00 00
19DD | 00 00 00
19E0 | 00 00 00
19E3 | 00 00 00
19E6 | 00 00 00
19E9 | 00 00 00
19EC | 00 00 00
19EF | 00 00 00
19F2 | 00 00 00
19F5 | 00 00 00
19F8 | 00 00 00
19FB | 00 00 00
19FE | 00 00 00
1A01 | 00 00 00
1A04 | 00 00 00
1A07 | 00 00 00
1A0A | 00 00 00
1A0D | 00 00 00
1A10 | 00 00 00
1A13 | 00 00 00
1A16 | 00 00 00
1A19 | 00 00 00
1A1C | 00 00 00
1A1F | 00 00 00
1A22 | 00 00 00
1A25 | 00 00 00
1A28 | 00 00 00
1A2B | 00 00 00
1A2E | 00 00 00
1A31 | 00 00 00
1A34 | 00 00 00
1A37 | 00 00 00
1A3A | 00 00 00
1A3D | 00 00 00
1A40 | 00 00 00
1A43 | 00 00 00
1A46 | 00 00 00
1A49 | 00 00 00
1A4C | 00 00 00
1A4F | 00 00 00
1A52 | 00 00 00
1A55 | 00 00 00
1A58 | 00 00 00
1A5B | 00 00 00
1A5E | 00 00 00
1A61 | 00 00 00
1A64 | 00 00 00
1A67 | 00 00 00
1A6A | 00 00 00
1A6D | 00 00 00
1A70 | 00 00 00
1A73 | 00 00 00
1A76 | 00 00 00
1A79 | 00 00 00
1A7C | 00 00 00
1A7F | 00 00 00
1A82 | 00 00 00
1A85 | 00 00 00
1A88 | 00 00 00
1A8B | 00 00 00
1A8E | 00 00 00
1A91 | 00 00 00
1A94 | 00 00 00
1A97 | 00 00 00
1A9A | 00 00 00
1A9D | 00 00 00
1AA0 | 00 00 00
1AA3 | 00 00 00
1AA6 | 00 00 00
1AA9 | 00 00 00
1AAC | 00 00 00
1AAF | 00 00 00
1AB2 | 00 00 00
1AB5 | 00 00 00
1AB8 | 00 00 00
1ABB | 00 00 00
1ABE | 00 00 00
1AC1 | 00 00 00
1AC4 | 00 00 00
1AC7 | 00 00 00
1ACA | 00 00 00
1ACD | 00 00 00
1AD0 | 00 00 00
1AD3 | 00 00 00
1AD6 | 00 00 00
1AD9 | 00 00 00
1ADC | 00 00 00
1ADF | 00 00 00
1AE2 | 00 00 00
1AE5 | 00 00 00
1AE8 | 00 00 00
1AEB | 00 00 00
1AEE | 00 00 00
1AF1 | 00 00 00
1AF4 | 00 00 00
1AF7 | 00 00 00
1AFA | 00 00 00
1AFD | 00 00 00
1B00 | 00 00 00
1B03 | 00 00 00
1B06 | 00 00 00
1B09 | 00 00 00
1B0C | 00 00 00
1B0F | 00 00 00
1B12 | 00 00 00
1B15 | 00 00 00
1B18 | 00 00 00
1B1B | 00 00 00
1B1E | 00 00 00
1B21 | 00 00 00
1B24 | 00 00 00
1B27 | 00 00 00
1B2A | 00 00 00
1B2D | 00 00 00
1B30 | 00 00 00
1B33 | 00 00 00
1B36 | 00 00 00
1B39 | 00 00 00
1B3C | 00 00 00
1B3F | 00 00 00
1B42 | 00 00 00
1B45 | 00 00 00
1B48 | 00 00 00
1B4B | 00 00 00
1B4E | 00 00 00
1B51 | 00 00 00
1B54 | 00 00 00
1B57 | 00 00 00
1B5A | 00 00 00
1B5D | 00 00 00
1B60 | 00 00 00
1B63 | 00 00 00
1B66 | 00 00 00
1B69 | 00 00 00
1B6C | 00 00 00
1B6F | 00 00 00
1B72 | 00 00 00
1B75 | 00 00 00
1B78 | 00 00 00
1B7B | 00 00 00
1B7E | 00 00 00
1B81 | 00 00 00
1B84 | 00 00 00
1B87 | 00 00 00
1B8A | 00 00 00
1B8D | 00 00 00
1B90 | 00 00 00
1B93 | 00 00 00
1B96 | 00 00 00
1B99 | 00 00 00
1B9C | 00 00 00
1B9F | 00 00 00
1BA2 | 00 00 00
1BA5 | 00 00 00
1BA8 | 00 00 00
1BAB | 00 00 00
1BAE | 00 00 00
1BB1 | 00 00 00
1BB4 | 00 00 00
1BB7 | 00 00 00
1BBA | 00 00 00
1BBD | 00 00 00
1BC0 | 00 00 00
1BC3 | 00 00 00
1BC6 | 00 00 00
1BC9 | 00 00 00
1BCC | 00 00 00
1BCF | 00 00 00
1BD2 | 00 00 00
1BD5 | 00 00 00
1BD8 | 00 00 00
1BDB | 00 00 00
1BDE | 00 00 00
1BE1 | 00 00 00
1BE4 | 00 00 00
1BE7 | 00 00 00
1BEA | 00 00 00
1BED | 00 00 00
1BF0 | 00 00 00
1BF3 | 00 00 00
1BF6 | 00 00 00
1BF9 | 00 00 00
1BFC | 00 00 00
1BFF | 00 00 00
1C02 | 00 00 00
1C05 | 00 00 00
1C08 | 00 00 00
1C0B | 00 00 00
1C0E | 00 00 00
1C11 | 00 00 00
1C14 | 00 00 00
1C17 | 00 00 00
1C1A | 00 00 00
1C1D | 00 00 00
1C20 | 00 00 00
1C23 | 00 00 00
1C26 | 00 00 00
1C29 | 00 00 00
1C2C | 00 00 00
1C2F | 00 00 00
1C32 | 00 00 00
1C35 | 00 00 00
1C38 | 00 00 00
1C3B | 00 00 00
1C3E | 00 00 00
1C41 | 00 00 00
1C44 | 00 00 00
1C47 | 00 00 00
1C4A | 00 00 00
1C4D | 00 00 00
1C50 | 00 00 00
1C53 | 00 00 00
1C56 | 00 00 00
1C59 | 00 00 00
1C5C | 00 00 00
1C5F | 00 00 00
1C62 | 00 00 00
1C65 | 00 00 00
1C68 | 00 00 00
1C6B | 00 00 00
1C6E | 00 00 00
1C71 | 00 00 00
1C74 | 00 00 00
1C77 | 00 00 00
1C7A | 00 00 00
1C7D | 00 00 00
1C80 | 00 00 00
1C83 | 00 00 00
1C86 | 00 00 00
1C89 | 00 00 00
1C8C | 00 00 00
1C8F | 00 00 00
1C92 | 00 00 00
1C95 | 00 00 00
1C98 | 00 00 00
1C9B | 00 00 00
1C9E | 00 00 00
1CA1 | 00 00 00
1CA4 | 00 00 00
1CA7 | 00 00 00
1CAA | 00 00 00
1CAD | 00 00 00
1CB0 | 00 00 00
1CB3 | 00 00 00
1CB6 | 00 00 00
1CB9 | 00 00 00
1CBC | 00 00 00
1CBF | 00 00 00
1CC2 | 00 00 00
1CC5 | 00 00 00
1CC8 | 00 00 00
1CCB | 00 00 00
1CCE | 00 00 00
